userid,course_number,question_number,question_content,answer_content,grade
C-2021-1_U57,1,1,今日の内容を自分なりの言葉で説明してみてください,携帯やpcは音声、文章、写真を伝える。現在の通信技術に至るまでに、さまざまな技術が生み出され用いられた。,B
C-2021-1_U57,1,2,今日の内容で、分かったこと・できたことを書いてください,情報は１と０で表され、その組み合わせで伝えられる。,B
C-2021-1_U57,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし。,B
C-2021-1_U57,1,4,質問があれば書いてください,特になし。,B
C-2021-1_U57,1,5,今日の授業の感想や反省を書いてください,特になし。,B
C-2021-1_U57,2,1,今日の内容を自分なりの言葉で説明してみてください,"情報源符号化は、確率分布に応じて平均符号語長の短い符号を設計しなければならない
また前提として、一意に、素早く復号できることが大事",B
C-2021-1_U57,2,2,今日の内容で、分かったこと・できたことを書いてください,語頭符号の利点として、一意復号可能や瞬時復号可能がある,B
C-2021-1_U57,2,3,今日の内容で、分からなかったこと・できなかったことを書いてください,エントロピーについて,B
C-2021-1_U57,2,4,質問があれば書いてください,特になし,B
C-2021-1_U57,2,5,今日の授業の感想や反省を書いてください,特になし,B
C-2021-1_U57,3,1,今日の内容を自分なりの言葉で説明してみてください,情報の期待値とは、大体どのくらいの情報を得られるかを示すものである,B
C-2021-1_U57,3,2,今日の内容で、分かったこと・できたことを書いてください,情報量の期待値はエントロピーに一致する,B
C-2021-1_U57,3,3,今日の内容で、分からなかったこと・できなかったことを書いてください,主に計算,B
C-2021-1_U57,3,4,質問があれば書いてください,特になし,B
C-2021-1_U57,3,5,今日の授業の感想や反省を書いてください,今回の授業は計算が難しかった,B
C-2021-1_U57,4,1,今日の内容を自分なりの言葉で説明してみてください,円が重ならなければ自動検出が可能,B
C-2021-1_U57,4,2,今日の内容で、分かったこと・できたことを書いてください,ハミング距離について,B
C-2021-1_U57,4,3,今日の内容で、分からなかったこと・できなかったことを書いてください,計算,B
C-2021-1_U57,4,5,今日の授業の感想や反省を書いてください,授業が進むにつれて内容が難しくなっていると感じました,B
C-2021-1_U57,5,1,今日の内容を自分なりの言葉で説明してみてください,アルゴリズムは解が曖昧でも教えてくれる,B
C-2021-1_U57,5,2,今日の内容で、分かったこと・できたことを書いてください,アルゴリズム,B
C-2021-1_U57,5,3,今日の内容で、分からなかったこと・できなかったことを書いてください,計算,B
C-2021-1_U57,5,4,質問があれば書いてください,なし,B
C-2021-1_U57,5,5,今日の授業の感想や反省を書いてください,前回よりは理解できた,B
C-2021-1_U57,6,1,今日の内容を自分なりの言葉で説明してみてください,N個のアイテムが与えられた時それらをある順番に従って並び替えることをソートと言う,B
C-2021-1_U57,6,2,今日の内容で、分かったこと・できたことを書いてください,要素の比較回数と交換回数の値は常には等しくない,B
C-2021-1_U57,6,3,今日の内容で、分からなかったこと・できなかったことを書いてください,オーダー記法,B
C-2021-1_U57,6,5,今日の授業の感想や反省を書いてください,前半の内容は理解できたが後半に進むにつれて理解が怪しくなっていった,B
C-2021-1_U57,7,1,今日の内容を自分なりの言葉で説明してみてください,マージソートは要素を分割して数の大小を比較し、並び替える,B
C-2021-1_U57,7,2,今日の内容で、分かったこと・できたことを書いてください,マージソートについて,B
C-2021-1_U57,7,3,今日の内容で、分からなかったこと・できなかったことを書いてください,主に2枚目のスライドの内容,B
C-2021-1_U57,7,5,今日の授業の感想や反省を書いてください,後半の内容があまり理解できていない気がするので復習をする,B
C-2021-1_U57,8,1,今日の内容を自分なりの言葉で説明してみてください,データはコンピューターでプログラムを使った処理の対象となる記号化・数字化された資料のこと,B
C-2021-1_U57,8,2,今日の内容で、分かったこと・できたことを書いてください,データの分析について,B
