userid,course_number,question_number,question_content,answer_content,grade
D-2020_U51,1,1,今日の内容を自分なりの言葉で説明してみてください,"黄色のｍoodleにログインして、そのあと水色のmoodleにリンク、授業開始までにTeamsの会議に参加しておく。
授業中スライドごとに分かったかわからなかったかボタンでリアクションをとる。わからなかった部分などにマーカーをつける。
授業ごとに内容をノートにまとめて、演習を解いて提出。授業の要点をまとめて図書館LGCに提出する。",F
D-2020_U51,1,2,今日の内容で、分かったこと・できたことを書いてください,授業の進め方が理解できた。,F
D-2020_U51,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,とくになし,F
D-2020_U51,1,4,質問があれば書いてください,とくになし,F
D-2020_U51,1,5,今日の授業の感想や反省を書いてください,オンライン授業ならではの利点を活用する工夫で、最初は大丈夫かと不安だったが何とかなりそうだと感じた。,F
D-2020_U45,1,1,今日の内容を自分なりの言葉で説明してみてください,講義の進め方のガイダンス,B
D-2020_U45,1,2,今日の内容で、分かったこと・できたことを書いてください,"講義概要
BookRollの操作方法
講義の進め方
講義時間以外でやるべきこと",B
D-2020_U45,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なし,B
D-2020_U45,1,4,質問があれば書いてください,なし,B
D-2020_U45,1,5,今日の授業の感想や反省を書いてください,とてもよかった,B
D-2020_U45,2,1,今日の内容を自分なりの言葉で説明してみてください,"信号の枠組みの中で，ディジタル信号は離散時間で離散振幅を持つ信号と捉えられている
アナログ信号をディジタル信号に変換するとPCで処理できる
PC処理ができるので，幅広い分野でディジタル信号は必要不可欠になっている",B
D-2020_U45,2,2,今日の内容で、分かったこと・できたことを書いてください,A/D変換の原理はわかった．,B
D-2020_U45,2,3,今日の内容で、分からなかったこと・できなかったことを書いてください,"標本化定理がなぜ成り立つのかがわからない
具体的にどのようなノイズが発生するのか？",B
D-2020_U45,2,4,質問があれば書いてください,なし,B
D-2020_U45,2,5,今日の授業の感想や反省を書いてください,スピーディに進んでよかった,B
D-2020_U45,3,1,今日の内容を自分なりの言葉で説明してみてください,"周期信号は三角関数の和で表すことができる
また，三角関数はe^iθで表すことができるので，
周期信号はe^iθの和で表すことができる",B
D-2020_U45,3,2,今日の内容で、分かったこと・できたことを書いてください,フーリエ級数の求め方がわかった,B
D-2020_U45,3,3,今日の内容で、分からなかったこと・できなかったことを書いてください,スペクトルを活用する事例,B
D-2020_U45,3,4,質問があれば書いてください,なし,B
D-2020_U45,3,5,今日の授業の感想や反省を書いてください,なし,B
D-2020_U45,4,1,今日の内容を自分なりの言葉で説明してみてください,"非周期信号をフーリエ変換を用いることで扱うことができる
信号をフーリエ変換して連続スペクトルを計算する
連続スペクトルを逆フーリエ変換して元の信号を計算する",B
D-2020_U45,4,2,今日の内容で、分かったこと・できたことを書いてください,フーリエ変換の性質,B
D-2020_U45,4,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なし,B
D-2020_U45,4,4,質問があれば書いてください,なし,B
D-2020_U45,4,5,今日の授業の感想や反省を書いてください,計算が面倒なので，授業が早めに終わったのはありがたかった,B
