userid,1,2,3,4,5,target
C-2021-1_U10,"""What is data visualization?
Various visualization methods
Visualization of multidimensional data""",,,,,-2
C-2021-1_U101,"""In today's class, we learned about visualization, a method of making diagrams that can be intuitively understood. The point to note when choosing a visualization method is that it is necessary to select the appropriate one according to the purpose and conditions. First of all, there is a bar graph as the first method, which is effective when comparing numerical data.Next, there is an error bar, which shows the degree of dispersion of data.Next, there is a histogram, which shows the frequency. Next, there is a box plot, which is useful for comparing data distributions, and a pie chart, which is useful for showing the ratio of each data to the whole data. There is a graph, and it is effective in grasping the tendency between data points.All of these representation methods are effective, but by changing the distance between each data, the data can be expressed as desired. The drawback is that you can change the presentation, so it is important to take appropriate data.In addition, there are directed graphs and undirected graphs, and these are how to express friend relationships and people's behavior. Represents a line.There are also scatter plots and heat maps.In addition, to visualize multidimensional data, it is displayed after reducing the data.""","""There are various ways to represent data, and all of them are effective in understanding the data quantitatively, but by changing the display width of the data, it is possible to give the viewer a completely different image. Therefore, it is important to display it with an appropriate graph.In addition, in the part of visualization of friendship relations, it is necessary to be able to express friendship relations in a table using 0 and 1. Also, use an undirected graph. You can understand the person who is at the center of the relationship.You can also use the effective graph to understand the flow of people.I thought that this was data that could be used commercially.""",,,"""What I found particularly interesting in this class was the visualization of relationships. Especially in the visualization of friendship relationships, I hadn't thought of using 0 and 1 to represent friendship relationships in a table, so I came up with a new perspective. It was interesting to be able to obtain it.It was also very interesting to understand the person at the center of the relationship by using an undirected graph.It was also very interesting to understand the flow of people using an effective graph.Commercial I thought it was data that could be used.""",-2
C-2021-1_U102,,"""I've known that there are many different ways to represent data visually, but I've been less conscious of what I have to be careful about when working with each one. I had never really thought about it, so I think it was a good opportunity.""","""It was difficult to understand the explanation of the visualization method by reducing the number of elements in the second half of the class.""",,,-2
C-2021-1_U104,"""There are many visualization methods, such as diagrams and graphs, that can be used to present data in a way that is intuitively understandable. Some of these methods can intentionally mislead the reader into understanding the data, so care must be taken. Choose a visualization method.Even if there are many elements you want to visualize, you can still visualize them.""","""How to visualize, understand what ""data"" is, and how to manipulate impressions by wrong visualization""",,,,-1
C-2021-1_U105,"""Visualizing data makes it possible to grasp trends. Appropriate visualization is necessary to make trends easier to see. Undirected graphs are graphs that represent relationships by points and edges. A graph with a strange orientation is called a directed graph.""","""Error bars can represent the scattering of data. Histograms are graphs that represent frequency. Box plots can be used to easily compare data distributions. Pie charts can represent data ratios. Bar graphs and line graphs are also available. , scatter plots, etc. Distributions of more than three types of data cannot be represented by scatter plots.""",,,"""I learned that there are many ways to visualize data. I learned that the same data can look completely different depending on how the data is visualized and how the values ​​are set. I wanted to be able to properly select graphs and diagrams and set numerical values.""",-1
C-2021-1_U106,"""Visualization helps intuitively understand things that are difficult to understand with mere numerical data, and makes subsequent data analysis more efficient.
Since there are various methods, it is important to use them properly. ""","""Distribution of data…Histogram
Comparison of distribution of data…boxplot
Comparison of Numerical Data…Bar Chart
Percentage of each data to the total data…pie chart
Trend of distribution of two types of data…Scatter plot
Comparing the distribution of two types of data…Heatmap
Trend of change between data…Line chart
Relations/connections between data…directed/undirected graphs""",,,,-2
C-2021-1_U107,"""How to visualize data and what it means to visualize.""",,"""Relationship between visualization methods and mathematics.""",,,0
C-2021-1_U11,"""Use histograms to examine data distributions, box plots to compare data distributions, and bar charts to compare numerical data. Pie charts are used to understand data ratios. Use heat maps when investigating, graphs for trends in change, and undirected/directed graphs for data relationships and connections.""","""I was able to learn how to choose a graph that matches the situation.""","""It was a bit difficult to understand each graph because it changes what you can do depending on the graph.""",,"""Since I was able to learn various types of visualization methods, I would like to memorize them while being careful not to confuse the features.""",-3
C-2021-1_U12,"""I learned about various data visualization methods and uses.
Visualization makes it possible to grasp a huge amount of data. ""","""I learned the importance of how to take memory on the vertical axis and the horizontal axis, and how to choose a method that suits the application.""","""I still don't know how to use scatterplots so much that a 4D one becomes a 2D scatterplot.""",,"""Depending on the method, there are suitable and unsuitable ranges of data display, and I wanted to organize them well. By learning today's content, I will be able to understand and analyze the data on my own, and I will be able to exploit the data. I thought that it would be possible to judge that this data is strange on the site that is doing it.""",-1
C-2021-1_U13,,"""How to use different graphs according to the situation. Things I didn't know before, such as elements and dimensions.""",,,,-2
C-2021-1_U14,,,,,"""It was interesting to learn more about the characteristics and properties of many graphs that I have seen before.""",-2
C-2021-1_U15,"""Contents to learn the characteristics and points to note of various graphs""","""I know when to use each graph.""","""It was difficult to reduce the dimension""",,"""It's good to know that there is a proper use for graphs""",-2
C-2021-1_U2,"""I learned about data visualization. There are bar graphs, histograms, boxplots, pie charts, line graphs, undirected graphs, scatterplots, and heatmaps.""",,,,,-3
