id,1,2,3,4,5,target
C-2021-1_U10,,,"""Essay questions
Solve it in time""",,,-2
C-2021-1_U100,,,"""I ran out of time. It was difficult to describe.""",,"""I will never forget what I have learned from taking this course.""",-2
C-2021-1_U100,,,"""I ran out of time. It was difficult to describe.""",,"""I will never forget what I have learned from taking this course.""",-2
C-2021-1_U101,"""It was a supplement to the last time""",,"""What I Didn't Do: Final Exams""","""I submitted the final exam at the last minute, so I'm worried if I submitted it properly. Would you like to check if I submitted it properly?""",,-2
C-2021-1_U101,"""It was a supplement to the last time""",,"""What I Didn't Do: Final Exams""","""I submitted the final exam at the last minute, so I'm worried if I submitted it properly. Would you like to check if I submitted it properly?""",,-2
C-2021-1_U101,"""It was a supplement to the last time""",,"""What I Didn't Do: Final Exams""","""I submitted the final exam at the last minute, so I'm worried if I submitted it properly. Would you like to check if I submitted it properly?""",,-2
C-2021-1_U103,,,"""I couldn't fill in the description problem.""",,,-1
C-2021-1_U104,"""The final exam was held after supplementary explanations about the advantages and disadvantages of binarization and the characteristics of differential filters and averaging filters regarding image processing using filters.""","""Understanding Binarization""",,,,-1
C-2021-1_U104,"""The final exam was held after supplementary explanations about the advantages and disadvantages of binarization and the characteristics of differential filters and averaging filters regarding image processing using filters.""","""Understanding Binarization""",,,,-1
C-2021-1_U105,"""It was a test.""","""It was tough because there were a lot of questions, but I'm glad I was able to finish it in time. I was able to confidently answer what I had studied, so I think it was good.""",,,,-1
C-2021-1_U105,"""It was a test.""","""It was tough because there were a lot of questions, but I'm glad I was able to finish it in time. I was able to confidently answer what I had studied, so I think it was good.""",,,,-1
C-2021-1_U106,,,"""General problems with description format
I understood it vaguely, but not deeply. """,,,-2
C-2021-1_U107,"""term-end exam""","""Not enough time""",,,,0
C-2021-1_U107,"""term-end exam""","""Not enough time""",,,,0
C-2021-1_U11,"""I did my final exam.""","""Vocabulary explanations were easier than I thought.""","""I couldn't solve the description problem as expected.""",,"""The written questions on this test made me realize that I still didn't have a clear grasp of what I was doing. I would like to re-learn what I didn't understand this time.""",-3
C-2021-1_U11,"""I did my final exam.""","""Vocabulary explanations were easier than I thought.""","""I couldn't solve the description problem as expected.""",,"""The written questions on this test made me realize that I still didn't have a clear grasp of what I was doing. I would like to re-learn what I didn't understand this time.""",-3
C-2021-1_U11,"""I did my final exam.""","""Vocabulary explanations were easier than I thought.""","""I couldn't solve the description problem as expected.""",,"""The written questions on this test made me realize that I still didn't have a clear grasp of what I was doing. I would like to re-learn what I didn't understand this time.""",-3
C-2021-1_U11,"""I did my final exam.""","""Vocabulary explanations were easier than I thought.""","""I couldn't solve the description problem as expected.""",,"""The written questions on this test made me realize that I still didn't have a clear grasp of what I was doing. I would like to re-learn what I didn't understand this time.""",-3
C-2021-1_U12,"""Filter continuation and character extraction (scanning)
""","""The Laplantian filter is an advanced filter that compensates for the shortcomings such as the vertical differential filter only makes the image clearer.""",,,"""It was difficult to describe the test. It was difficult to explain the significance of using the order method.""",-1
C-2021-1_U12,"""Filter continuation and character extraction (scanning)
""","""The Laplantian filter is an advanced filter that compensates for the shortcomings such as the vertical differential filter only makes the image clearer.""",,,"""It was difficult to describe the test. It was difficult to explain the significance of using the order method.""",-1
C-2021-1_U12,"""Filter continuation and character extraction (scanning)
""","""The Laplantian filter is an advanced filter that compensates for the shortcomings such as the vertical differential filter only makes the image clearer.""",,,"""It was difficult to describe the test. It was difficult to explain the significance of using the order method.""",-1
C-2021-1_U13,,,,,"""This time, I realized that I didn't have enough time to study. However, I felt that I had studied well, and I think I was able to make use of what I had learned in this class. .""",-2
C-2021-1_U15,"""The test was more difficult than I expected""","""Image processing methods""",,,"""I acquired various knowledge about information""",-2
C-2021-1_U15,"""The test was more difficult than I expected""","""Image processing methods""",,,"""I acquired various knowledge about information""",-2
C-2021-1_U15,"""The test was more difficult than I expected""","""Image processing methods""",,,"""I acquired various knowledge about information""",-2
C-2021-1_U18,"""term-end exam""",,,,,-2
C-2021-1_U2,"""Through the final exam, I confirmed the contents so far.""",,,,,-3
C-2021-1_U20,"""Today, we focused on the tests we've done so far. In addition, we did some leftovers from the previous test, questionnaires, and so on.""","""I was able to use what I had learned in the test to some extent.""","""The description problem to explain the content was difficult""",,,-3
C-2021-1_U20,"""Today, we focused on the tests we've done so far. In addition, we did some leftovers from the previous test, questionnaires, and so on.""","""I was able to use what I had learned in the test to some extent.""","""The description problem to explain the content was difficult""",,,-3
C-2021-1_U20,"""Today, we focused on the tests we've done so far. In addition, we did some leftovers from the previous test, questionnaires, and so on.""","""I was able to use what I had learned in the test to some extent.""","""The description problem to explain the content was difficult""",,,-3
C-2021-1_U22,"""Final exams and image filters""","""There are many ways to filter an image""",,,,-1
C-2021-1_U22,"""Final exams and image filters""","""There are many ways to filter an image""",,,,-1
C-2021-1_U23,,"""I was able to understand image processing.""",,,,-3
C-2021-1_U24,"""Image, final exam""","""I was able to solve some problems.""",,,"""Thank you for the previous term.""",-1
C-2021-1_U24,"""Image, final exam""","""I was able to solve some problems.""",,,"""Thank you for the previous term.""",-1
C-2021-1_U24,"""Image, final exam""","""I was able to solve some problems.""",,,"""Thank you for the previous term.""",-1
C-2021-1_U25,,,"""test""",,"""I didn't have enough time Paa""",-2
C-2021-1_U25,,,"""test""",,"""I didn't have enough time Paa""",-2
C-2021-1_U27,"""Non-linear filter... Image edges can also be saved. ex median filter
● Differential filter
● Sobel filter: A method to extract edges while suppressing noise
●Laplacian filter…The direction-independent edge can be obtained directly.
●Sharpening: Makes the bright parts brighter and the dark parts darker on both sides of the edge, and sharpens the slope of the edge.



I had a final exam today. There were about 20 questions including calculation problems and writing problems. The test time was about 40 minutes. ""","""I think I've answered most of the questions.""","""I couldn't write enough because of the writing problem.""",,"""I was trying to solve it quickly, but I spent too much time on calculations and descriptions, and in the end I didn't have enough time. I want to study by myself when I come across something like this.""",-3
C-2021-1_U27,"""Non-linear filter... Image edges can also be saved. ex median filter
● Differential filter
● Sobel filter: A method to extract edges while suppressing noise
●Laplacian filter…The direction-independent edge can be obtained directly.
●Sharpening: Makes the bright parts brighter and the dark parts darker on both sides of the edge, and sharpens the slope of the edge.



I had a final exam today. There were about 20 questions including calculation problems and writing problems. The test time was about 40 minutes. ""","""I think I've answered most of the questions.""","""I couldn't write enough because of the writing problem.""",,"""I was trying to solve it quickly, but I spent too much time on calculations and descriptions, and in the end I didn't have enough time. I want to study by myself when I come across something like this.""",-3
C-2021-1_U27,"""Non-linear filter... Image edges can also be saved. ex median filter
● Differential filter
● Sobel filter: A method to extract edges while suppressing noise
●Laplacian filter…The direction-independent edge can be obtained directly.
●Sharpening: Makes the bright parts brighter and the dark parts darker on both sides of the edge, and sharpens the slope of the edge.



I had a final exam today. There were about 20 questions including calculation problems and writing problems. The test time was about 40 minutes. ""","""I think I've answered most of the questions.""","""I couldn't write enough because of the writing problem.""",,"""I was trying to solve it quickly, but I spent too much time on calculations and descriptions, and in the end I didn't have enough time. I want to study by myself when I come across something like this.""",-3
C-2021-1_U27,"""Non-linear filter... Image edges can also be saved. ex median filter
● Differential filter
● Sobel filter: A method to extract edges while suppressing noise
●Laplacian filter…The direction-independent edge can be obtained directly.
●Sharpening: Makes the bright parts brighter and the dark parts darker on both sides of the edge, and sharpens the slope of the edge.



I had a final exam today. There were about 20 questions including calculation problems and writing problems. The test time was about 40 minutes. ""","""I think I've answered most of the questions.""","""I couldn't write enough because of the writing problem.""",,"""I was trying to solve it quickly, but I spent too much time on calculations and descriptions, and in the end I didn't have enough time. I want to study by myself when I come across something like this.""",-3
C-2021-1_U28,"""Supplementary explanation of last time about filter processing, explanation of Laplacian filter, explanation of binarization of image.",,,,"""After finishing the final exam, I realized that there were still areas where I hadn't studied enough and where I didn't have enough understanding.However, through this course of information science, I was able to apply information technology that I hadn't known before and apply it to my surroundings. When I see what I learned in this course in real life, I feel that my interest in it has deepened.""",-2
C-2021-1_U28,"""Supplementary explanation of last time about filter processing, explanation of Laplacian filter, explanation of binarization of image.",,,,"""After finishing the final exam, I realized that there were still areas where I hadn't studied enough and where I didn't have enough understanding.However, through this course of information science, I was able to apply information technology that I hadn't known before and apply it to my surroundings. When I see what I learned in this course in real life, I feel that my interest in it has deepened.""",-2
C-2021-1_U30,"""Image Processing Supplement, Final Exam""","""About the Laplacian filter""",,,"""I was running out of time for the final exam.",-1
C-2021-1_U30,"""Image Processing Supplement, Final Exam""","""About the Laplacian filter""",,,"""I was running out of time for the final exam.",-1
C-2021-1_U30,"""Image Processing Supplement, Final Exam""","""About the Laplacian filter""",,,"""I was running out of time for the final exam.",-1
C-2021-1_U31,"""The amount of questions in the test was quite large, so I was worried whether I could do it.""","""I now have a rough idea of ​​how image filtering works.""",,,,-2
C-2021-1_U31,"""The amount of questions in the test was quite large, so I was worried whether I could do it.""","""I now have a rough idea of ​​how image filtering works.""",,,,-2
C-2021-1_U32,"""Images contain complex data.
Systems that can recognize data from images, sounds, and actions have also been developed. """,,,,,-1
C-2021-1_U34,,,,"""Until now, the diary has been marked as 'no evaluation', but has it been submitted to the teacher? """,,-1
C-2021-1_U35,"""Today I learned about images. I also worked on my final exam.""",,"""For images, I found it a bit difficult.""","""Nothing in particular.""","""This is the end of the lecture, but I think that the field of information will become even more important in the future, so I would like to be able to make use of what I have learned in this lecture. It was nice to be able to deepen it.""",-1
C-2021-1_U35,"""Today I learned about images. I also worked on my final exam.""",,"""For images, I found it a bit difficult.""","""Nothing in particular.""","""This is the end of the lecture, but I think that the field of information will become even more important in the future, so I would like to be able to make use of what I have learned in this lecture. It was nice to be able to deepen it.""",-1
C-2021-1_U35,"""Today I learned about images. I also worked on my final exam.""",,"""For images, I found it a bit difficult.""","""Nothing in particular.""","""This is the end of the lecture, but I think that the field of information will become even more important in the future, so I would like to be able to make use of what I have learned in this lecture. It was nice to be able to deepen it.""",-1
C-2021-1_U35,"""Today I learned about images. I also worked on my final exam.""",,"""For images, I found it a bit difficult.""","""Nothing in particular.""","""This is the end of the lecture, but I think that the field of information will become even more important in the future, so I would like to be able to make use of what I have learned in this lecture. It was nice to be able to deepen it.""",-1
C-2021-1_U36,"""summary test""",,,,,-2
C-2021-1_U37,"""Additional to last lecture, test""","""I concentrated on studying for the test up until yesterday, so I was able to solve some of the questions on a hunch, but I was able to do it.""",,,"""The 15th class was easy to understand and interesting. Thank you very much.""",-2
C-2021-1_U37,"""Additional to last lecture, test""","""I concentrated on studying for the test up until yesterday, so I was able to solve some of the questions on a hunch, but I was able to do it.""",,,"""The 15th class was easy to understand and interesting. Thank you very much.""",-2
C-2021-1_U37,"""Additional to last lecture, test""","""I concentrated on studying for the test up until yesterday, so I was able to solve some of the questions on a hunch, but I was able to do it.""",,,"""The 15th class was easy to understand and interesting. Thank you very much.""",-2
C-2021-1_U39,"""I put all my effort into testing.""","""Test time was short.""","""It wasn't all solved.""",,"""I was left with regrets because I didn't finish solving it.""",-1
C-2021-1_U39,"""I put all my effort into testing.""","""Test time was short.""","""It wasn't all solved.""",,"""I was left with regrets because I didn't finish solving it.""",-1
C-2021-1_U39,"""I put all my effort into testing.""","""Test time was short.""","""It wasn't all solved.""",,"""I was left with regrets because I didn't finish solving it.""",-1
C-2021-1_U39,"""I put all my effort into testing.""","""Test time was short.""","""It wasn't all solved.""",,"""I was left with regrets because I didn't finish solving it.""",-1
C-2021-1_U40,,,"""Some of the written questions on the test.""",,,-2
C-2021-1_U42,,,"""term-end exam.""",,"""I thought I would be able to solve it more smoothly because I prepared in advance, but it was a more difficult test than I expected.""",-1
C-2021-1_U42,,,"""term-end exam.""",,"""I thought I would be able to solve it more smoothly because I prepared in advance, but it was a more difficult test than I expected.""",-1
C-2021-1_U43,,,,,"""By studying information science, I was able to understand that our lives are made up of a lot of information.""",-2
C-2021-1_U46,"""Today was the last computer science class, so I had an exam.""","""I think I was able to demonstrate the results of my studies on the final test.""","""The descriptive questions were so difficult that the time flew by while I was thinking about it.""",,"""There was a part where studying for the exam was naive.""",-2
C-2021-1_U46,"""Today was the last computer science class, so I had an exam.""","""I think I was able to demonstrate the results of my studies on the final test.""","""The descriptive questions were so difficult that the time flew by while I was thinking about it.""",,"""There was a part where studying for the exam was naive.""",-2
C-2021-1_U46,"""Today was the last computer science class, so I had an exam.""","""I think I was able to demonstrate the results of my studies on the final test.""","""The descriptive questions were so difficult that the time flew by while I was thinking about it.""",,"""There was a part where studying for the exam was naive.""",-2
C-2021-1_U46,"""Today was the last computer science class, so I had an exam.""","""I think I was able to demonstrate the results of my studies on the final test.""","""The descriptive questions were so difficult that the time flew by while I was thinking about it.""",,"""There was a part where studying for the exam was naive.""",-2
C-2021-1_U47,"""I had a test.""","""There were some problems that I reviewed, and I was able to solve them without fail.""","""I reviewed the problem of writing the worst computational complexity that appeared in the test, but I still don't know how to do it.""",,"""I studied a lot for the test, but there were too many questions and my typing was slow, so I couldn't answer all the questions. Also, there were some questions I didn't understand, so I thought that the field of information science is very wide. I felt it again.""",-2
C-2021-1_U47,"""I had a test.""","""There were some problems that I reviewed, and I was able to solve them without fail.""","""I reviewed the problem of writing the worst computational complexity that appeared in the test, but I still don't know how to do it.""",,"""I studied a lot for the test, but there were too many questions and my typing was slow, so I couldn't answer all the questions. Also, there were some questions I didn't understand, so I thought that the field of information science is very wide. I felt it again.""",-2
C-2021-1_U47,"""I had a test.""","""There were some problems that I reviewed, and I was able to solve them without fail.""","""I reviewed the problem of writing the worst computational complexity that appeared in the test, but I still don't know how to do it.""",,"""I studied a lot for the test, but there were too many questions and my typing was slow, so I couldn't answer all the questions. Also, there were some questions I didn't understand, so I thought that the field of information science is very wide. I felt it again.""",-2
C-2021-1_U47,"""I had a test.""","""There were some problems that I reviewed, and I was able to solve them without fail.""","""I reviewed the problem of writing the worst computational complexity that appeared in the test, but I still don't know how to do it.""",,"""I studied a lot for the test, but there were too many questions and my typing was slow, so I couldn't answer all the questions. Also, there were some questions I didn't understand, so I thought that the field of information science is very wide. I felt it again.""",-2
C-2021-1_U49,"""・ Edge extraction Detecting areas with intense brightness in the image
・ Differential filter depends on the direction
・Sobe filter noise
・Laplacian filter direction doesn't matter""","""You can't do things like image recognition or character detection with just simple math, and it works better with a lot of filtering and other deep learning.""",,,"""Through the information science class, I felt like I learned what kind of things are being done in the modern information society and what they actually do. I wanted to know.""",-2
C-2021-1_U49,"""・ Edge extraction Detecting areas with intense brightness in the image
・ Differential filter depends on the direction
・Sobe filter noise
・Laplacian filter direction doesn't matter""","""You can't do things like image recognition or character detection with just simple math, and it works better with a lot of filtering and other deep learning.""",,,"""Through the information science class, I felt like I learned what kind of things are being done in the modern information society and what they actually do. I wanted to know.""",-2
C-2021-1_U49,"""・ Edge extraction Detecting areas with intense brightness in the image
・ Differential filter depends on the direction
・Sobe filter noise
・Laplacian filter direction doesn't matter""","""You can't do things like image recognition or character detection with just simple math, and it works better with a lot of filtering and other deep learning.""",,,"""Through the information science class, I felt like I learned what kind of things are being done in the modern information society and what they actually do. I wanted to know.""",-2
C-2021-1_U50,,"""I was able to learn about the mechanism of various filters such as differential filters, Sobe filters, and Laplacian filters in detail by looking at comparative images. It gave me a better understanding of valuation.""","""I didn't have enough time for the summary test and didn't have time to solve the written questions.""",,"""I found image analysis to be a very interesting field of interest. I was particularly intrigued by seeing each comparison of threshold values ​​towards the end! I'm sorry it's not very well done.""",0
C-2021-1_U50,,"""I was able to learn about the mechanism of various filters such as differential filters, Sobe filters, and Laplacian filters in detail by looking at comparative images. It gave me a better understanding of valuation.""","""I didn't have enough time for the summary test and didn't have time to solve the written questions.""",,"""I found image analysis to be a very interesting field of interest. I was particularly intrigued by seeing each comparison of threshold values ​​towards the end! I'm sorry it's not very well done.""",0
C-2021-1_U50,,"""I was able to learn about the mechanism of various filters such as differential filters, Sobe filters, and Laplacian filters in detail by looking at comparative images. It gave me a better understanding of valuation.""","""I didn't have enough time for the summary test and didn't have time to solve the written questions.""",,"""I found image analysis to be a very interesting field of interest. I was particularly intrigued by seeing each comparison of threshold values ​​towards the end! I'm sorry it's not very well done.""",0
C-2021-1_U51,"""term-end exam""","""Since I remembered how to do the calculation, I was able to solve it smoothly.""",,,"""The 40-minute test was not enough time and was difficult, but I didn't give up until the end.
I was happy because there were a few questions on the test that reminded me of the knowledge I had learned in class.
Thank you for teaching me so far. """,-2
C-2021-1_U51,"""term-end exam""","""Since I remembered how to do the calculation, I was able to solve it smoothly.""",,,"""The 40-minute test was not enough time and was difficult, but I didn't give up until the end.
I was happy because there were a few questions on the test that reminded me of the knowledge I had learned in class.
Thank you for teaching me so far. """,-2
C-2021-1_U51,"""term-end exam""","""Since I remembered how to do the calculation, I was able to solve it smoothly.""",,,"""The 40-minute test was not enough time and was difficult, but I didn't give up until the end.
I was happy because there were a few questions on the test that reminded me of the knowledge I had learned in class.
Thank you for teaching me so far. """,-2
C-2021-1_U53,"""It was about 2 permutations and Laplace transforms.""","""The 2-substitution was very easy to understand, just like the teacher said.""","""I didn't quite understand the problem with the averaging filter.""","""Nothing in particular.""","""It was very difficult to write the final exam.""",-2
C-2021-1_U53,"""It was about 2 permutations and Laplace transforms.""","""The 2-substitution was very easy to understand, just like the teacher said.""","""I didn't quite understand the problem with the averaging filter.""","""Nothing in particular.""","""It was very difficult to write the final exam.""",-2
C-2021-1_U53,"""It was about 2 permutations and Laplace transforms.""","""The 2-substitution was very easy to understand, just like the teacher said.""","""I didn't quite understand the problem with the averaging filter.""","""Nothing in particular.""","""It was very difficult to write the final exam.""",-2
