userid,1,2,3,4,5,6,7,8,target
B-2020_U10,,,,,,"""There are various dangers (spoofing, fraud, criminal use, etc.) hidden in the Internet that are unimaginable in the real world, and careless remarks and transmissions can lead to unintended consequences. I realized that I have to be careful with my behavior.""","""I didn't really understand the difficult topics such as the origin of each law and the mechanism of RSA encryption and Elmagal encryption.""",,0
B-2020_U13,"""Attacks that do not use ICT, anonymity of various SNSs, and hijacking of ICT environments""",,,,,,,,1
B-2020_U14,"""Various threats related to ICT and their countermeasures""","""I learned that complete anonymity on the Internet is not guaranteed, and malicious attacks can be identified.""",,,,,"""I didn't know what the minimum level of knowledge about encryption technology for protecting information was for ordinary people to use the Internet safely.""",,1
B-2020_U15,"""Information such as passwords can be exposed by eavesdropping or targeting weaknesses in human relationships. It is easy to identify individuals from SNS information. Once information is posted on the Internet, it is widely circulated. It can never be erased.Chain mail is sent from acquaintances, so it is easy to trust it, but it is important not to believe it right away.There are services that can be used anonymously on the Internet, but you can identify them from your IP address. It is possible to do so.It is important not to behave as you please just because you are anonymous, but it is important to behave in the same way in reality and on the Internet.Protect your password because if your account is hijacked, your acquaintances will be harmed. It is important to take measures such as","""I realized that I must be aware of ICT threats not only in countermeasures against threats inside the terminal, but also in real life. I learned that it is easy to identify individuals from SNS information. Egosearch I found it to be effective in finding out how far my information is circulating, and I found that if a Bitcoin exchange outside the P2P network was attacked, I could lose my Bitcoin. I realized that it would be difficult to completely erase the information on the device.I learned that each device has an IP address, which is something like an address.""","""No.""",,,,,"""I was able to take the course without any problems in terms of audio and access to moodle. Moodle has a lot of functions, and the teacher understands what I didn't understand in the preparation and explains it in class, so it was efficient. I feel that I was able to advance my learning. Thank you for the seven classes.""",1
B-2020_U16,,"""・ How IP addresses work ・ Even if it's an analogue method, it's easy to steal personal confidential information (social engineering)""","""Distinction between threats that use/do not use ICT""",,,,,"""As technology develops, I think it will be an issue in the future that there will always be cases of exploiting and exploiting even the slightest vulnerabilities. That is why, in order to face these issues appropriately, I will acquire a variety of knowledge in this lecture."" It was a good opportunity for me to acquire it.Even considering the actual experience and the current situation, I feel that there are still some weak points in security etc. I want to change the proper way to handle .""",0
B-2020_U17,,,,,,"""In order to protect your information terminal, it is necessary to properly manage both software and hardware to prevent malware intrusion. It is safe to keep the OS and applications up to date. In order to protect your account on the service, it is better to take measures such as setting a password that only you understand or an answer that is unrelated to the question, and avoid using untrusted communication lines. Encryption technology is also evolving to protect the above information.However, individual awareness of information, such as information ethics, research ethics, and awareness of copyright protection, is equally important.In using ICT, , We should be careful not to send information carelessly through SNS or email.""",,,0
B-2020_U18,,,,,,"""Considering which is more risky, the browser's password saving function or the reuse of the same password, the former is clearly more secure against statements that can be attacked from the outside.""",,,1
B-2020_U19,"""This time was a review of what I had learned so far. Security problems caused by human carelessness, problems related to passwords and personal information, social trust, familiar Internet threats, etc. Important things are real even on the Internet. I learned that protecting morals in society is important when transmitting information.""","""After all, I was able to think that it is a problem that threats targeting human carelessness and openings will not decrease.""","""Is My Number a system that chose convenience and not privacy? I didn't quite understand it.""",,"""I'm glad I made it to the end. It's frustrating that I made a lot of mistakes in the quiz, but I'm happy that I learned a lot of useful knowledge for my future studies.""","""I've come to think that social engineering is the number one threat. Security and threats are in a cat-and-mouse game, and I don't think the sentiment will change that much. It's because I learned about threats and understood personal countermeasures.""","""I wasn't sure if I would lose my backups. After the lecture, I don't feel like I don't know.""",,0
B-2020_U20,"""Threats that don't use ICT include ""It's me"" scams and chain mails. The importance of anonymity and the fact that you can still be exposed to threats. Be careful as the ICT environment can be hijacked.""",,,,,,,,0
B-2020_U21,,,"""As much as the content was familiar and easy to understand, there was a lot of information and I had prejudices from the beginning, so there were some parts that I could not fully understand during the preparation and class time.""",,,,,,-1
B-2020_U22,,"""I was able to understand the technology for security and its advantages and disadvantages.""",,,"""In this class, I was able to confirm and organize the knowledge I learned in the previous lectures, so I would like to continue researching social security on my own.""","""The first step to improve the quality of security is to make safe settings by yourself. It is also important to understand information security mechanisms such as cryptography and the Cyber ​​Security Basic Act, as well as information ethics. may be updated on a daily basis, so it is necessary to check without fail.""",,"""At first, I was worried, but the explanations were very thorough, and the related materials were also posted, so it was easy to learn.""",1
B-2020_U23,,"""Every device that connects to the internet must have an IP address.""","""Nothing in particular""","""Nothing in particular.""",,,"""Nothing in particular.
""","""There were no inconveniences at all.""",0
B-2020_U24,,,,,,,,"""I was grateful for the online classes because I had more time for myself, but I felt that I didn't have enough time to talk with my classmates about the content of the classes, so face-to-face classes would be preferable if possible. I think the quality of the online classes was good. """,0
B-2020_U25,"""The content of this time was a summary of the content so far.""",,,,,,,"""I think the use of the OK/Don't know button was good because it saved a lot of lecture time. I think it would be interesting for students to be able to see other people's OK/Don't know situations.""",0
B-2020_U26,"""To survive in the ICT society""",,,,,,,,0
B-2020_U27,,,,,,"""The existence of malicious sites called malware - The fact that anti-virus software only reacts to existing malware - The fact that there is something called a password hash that prevents passwords from being stored on the server as is - Who provided it? It is better not to use wireless LAN if you don't know whether it is safe or not. ・In peer review of research, there is a system that allows fair evaluation of single-blind and double-blind. ・Personal information is not consistent with privacy. , that it accompanies thought""",,,-1
B-2020_U29,"""Social science
Threats that do not use ICT can cause damage to yourself, your relatives, and the ICT environment.""","""There are attacks that do not use ICT, such as memorizing other people's passwords, etc., and there is a possibility that fraud damage, hijacking, unauthorized access, etc.
Individuals may be identified by combining information from multiple accounts.
Anonymous doesn't mean you can't be identified
If you ask your provider for the history of the IP address of the server, you will find out whose terminal it is (however, it takes time and effort)
Kyushu University is itself a provider, so if a student causes a problem with a Kyushu University-related ID, Kyushu University can investigate.
If your ID and password are leaked, your ICT may be hijacked.""",,,,,,,1
B-2020_U31,"""Today, I learned about the social sciences in a sort of general summary. I learned that there are many dangers in dealing with information and networks, and how to deal with them.""","""When dealing with information, it is important to properly judge whether or not the information is highly secure. Also, when I am the sender, I always keep in mind that I am posting information in an open space, and I Avoid exposing information about people who are important to you.""",,,,,,"""It was great to be able to prepare for the lesson and easily tell the teacher what I didn't understand. Also, I was told that it would be sent anonymously, so I was able to attend without any hesitation. Although it was remote, the speed of the lesson was good. It was just right.""",1
B-2020_U32,"""With regard to threats that do not use ICT, there are those in which personal information is stolen through social engineering such as deceiving people, taking advantage of opportunities, and peeping. Countermeasures against various social attacks include telephone So, there are things like asking back properly (it's me fraud), identity verification, passwords that are difficult to understand, be careful not to be seen by someone when you enter them, use biometric authentication, etc. In information services, you hide your real name. It is unreliable because it is in a state where it is in a state where it is unreliable.In addition, there may be situations where you do not know who you really are, or who I am writing this.However, this anonymity does not allow you to use your time and authority. It is not protected by default and can be identified in most cases.If your username and password are stolen, your account will be hijacked.Therefore, protect your username and password appropriately, use antivirus, and use a computer or smartphone. In addition, in order not to be deceived when someone you know is hijacked, do not panic even if you are told it is urgent, contact the other party by other means, or check with a mutual acquaintance. It's important not to immediately respond to the other person's request, such as looking at it.""",,,,"""I heard that some people like to identify other people, but I really hope they have other hobbies that are more harmless and fun.""","""When using the Internet, it is necessary to protect yourself on your own, do not approach suspicious sites, do not download or install carelessly, be careful with e-mail attachments and links, do not provide personal information carelessly. , If you think something is suspicious, consult with a friend or teacher who knows about your password, prevent password leaks, and (beware of social engineering, make it complicated), especially in your daily life. I learned a lot of other things this time, but apart from the lecture content, there are some things that require more in-depth study, such as law and cryptography, so I have to understand everything before using the Internet. I don't think it's possible, so when I feel suspicious or I don't understand something, I don't act hastily, but I want to keep talking to people.""",,"""I think the style of changing the amount of explanation by using buttons that I understand and don't understand is very rational and good.""",0
B-2020_U34,"""Threats that do not use ICT include social engineering and fraud.
Also, there are loopholes in biometric authentication, and there is a danger that individuals can be identified from various information on SNS. Other threats include bitcoin theft, information spread, chain mail, and personal identification from My Number.
Anonymity on the Internet is not necessarily protected, and it is also possible to identify a person. From the IP address and photo, you can see who has done a nuisance or illegal act.
Nuisance behavior includes spoofing and hijacking, and it is important to determine whether it is genuine. Also, linking with Twitter, FB, etc. is an effective means of increasing security. """,,,,,"""Since we, who use the Internet as a matter of course, are involved in cyber security crimes, we must never think that it is someone else's problem, and must be conscious of not being involved in such crimes or committing them on a daily basis.""",,,1
B-2020_U36,"""Notes on coexisting with the Internet""",,,,"""I just wanted to keep in mind that only I can protect my information.""","""Now that we have to live with the Internet, I see the need to have a clear understanding of what is right and what is wrong.""",,,1
B-2020_U38,"""Attacks targeting people without using ICT, 'anonymity' in various information services, 'spoofing' and 'hijacking', and specific past examples of these. """,,,,,,"""There are still some areas where the distinction between symmetric-key cryptography and public-key cryptography has not yet been established. The field of cryptography was difficult.""",,0
B-2020_U39,,,,,"""I also use SNS frequently, so I thought I should be careful about hijacking, impersonation, and identification. Also, there are often false rumors that are just like that, so I don't know the sender. I will always keep that in mind and be careful not to blindly believe any information.""","""To protect personal information and accounts, passwords should not be short or easy to guess, and should be long with as many characters as possible. Communication is protected by various technologies and laws. However, there are people who take advantage of such things to send viruses using fake URLs or fake emails, or use analog methods to make attacks that are difficult to countermeasures. It is important to take measures with",,,1
B-2020_U4,"""There are many ICT attacks that do not use ICT around us.
Attacks that target people include peeping, fraud, and personal identification based on information on SNS and personality tests. Countermeasures include setting strong passwords, using biometric authentication, and media literacy.
It is necessary to protect not only the security of the main unit, such as the security of the bitcoin exchange system and the security of outsourcing contractors.
Information entered on the Internet cannot be erased, so it is necessary to be careful about handling privacy and personal identification.
Many people should be aware of the existence of chain mails and targeted e-mails that use the information diffusion power of the Internet.
The anonymity of information services seems to be guaranteed by the ability to hide real names, but individuals can be identified from IP addresses and writing histories. Don't get carried away. On the other hand, some people use this factor to try to impersonate or take over, so the security of personal network environment is important. """,,,"""If you follow SNS, you will find friends of friends, but is it possible to connect with a complete stranger through that? The only difference is whether you follow or not. Are they connected?
Isn't it impossible to use social media safely? ""","""Tattoos look painful, so I don't want to get them digitally.
Compared to the first time, my knowledge of information deepened, so I was able to pay more attention to security. ""","""It is important that passwords are long, hard to guess, and not reused. Passwords are essential to protect information on the server, and a system called password hashing is used to prevent password leaks. Security creation side must constantly respond to new modus operandi, such as security by design.
Cyberattackers try to steal passwords and personal information using phishing, supply chains, malware, dictionary attacks, and more.
Cryptographic techniques for safely transmitting information have been studied for many years. The basic principle is that the rules for encryption and decryption are determined, and only those who know the rules can access the information. A one-way function is applied.
Cybersecurity is guaranteed by law. With the advent of IT, the scope of the law continues to expand, including prohibition of unauthorized access, regulation of specific e-mails, prevention of unfair competition, and protection of personal information. Regulations for telecommunications and radio waves are also stipulated by law.
Research ethics, information ethics, and copyright are also important in university research and work. Moral rights and copyright guarantee the rights of the person who created the work for a certain period of protection. Therefore, correct scientific verification is essential in research so as not to be suspected of plagiarism. To avoid suspicion of forgery or falsification, do not forget to check through peer reviews, etc. Evaluators must always be mindful not to lose objectivity, such as conflicts of interest. """,,,1
B-2020_U40,,"""It's dangerous if personal information is casually omitted or if information is sent out without thinking.""","""I understand that personal information can be exposed from photos, but how much information can be extracted from various information?It is also possible to collect information by making full use of Yahoo Chiebukuro, so it is very important. Can you get different kinds of information from the details?""",,,,"""When it comes to security, self-defense is extremely important, but I don't think it's good if you become overly sensitive. As long as you don't have a clear guideline, you don't know your limits.""","""On the other hand, online lectures can be taken at home at will, but on the other hand, there are both good and bad aspects, such as a tendency to lose concentration in class.",1
B-2020_U41,"""No matter how advanced the technology for protecting cyber security is, the final bastion is protected by the behavior of the people who handle it. Human behavior is a major barrier and weakness in living in a digital society. can also be",,,,,"""It is necessary to set individual passwords for your computer, smartphone, and the applications in it, and it is desirable to have a backup. Also, prepare for what to do in case you lose your device. It is also necessary to keep in mind that actions that violate information ethics will be punished by law.When writing papers in the future, I will have to be careful about copyrights and the like, and I will have to be careful about handling references and related research.""","""A specific example of copyright law.
How modern complex cryptosystems work. """,,-1
B-2020_U43,"""Danger exists whether ICT is used or not""",,,,,,"""Sometimes the quiz context was difficult.""",,1
B-2020_U44,,,,,,"""In the early classes, for example, if there is an update for your smartphone, you will be more susceptible to viruses if you don't update it, and don't reuse passwords. I'm glad that I was able to experience unexpected dangers. I will use what I learned this time to avoid being victimized as much as possible in the future.""","""Knowing the law and copyright were not very familiar to my daily life, so my overall understanding was shallow.""",,-1
B-2020_U45,,,,,,"""I was able to know that there are two types of secure password settings and Wi-Fi.
I also learned the word conflict of interest in a research ethics class. """,,,0
B-2020_U47,,,,,,"""Nowadays, the Internet has become very convenient, but there are various dangers associated with it, so I learned that there are various measures to prevent them.""",,,0
B-2020_U5,,"""Being in an ICT environment is quite familiar these days, but I learned that it is important to know about various threats so that I can stay safe even when I am no longer in that environment. Biometric authentication is easier than I thought. We know there is a threat.""","""I found it scary because there are threats lurking everywhere, and sometimes I get emails that I'm not sure are really coming from the right place, so I wanted to be able to identify those threats.""",,,,,"""I thought it was difficult to stay focused because I was taking online classes at home.However, in this lecture, which has a button-pressing system, it seems that you can participate by pressing a button at the preparation stage. It was good to be able to clarify what I wanted to hear during the lecture by bookmarking what I didn't understand.It would be even better if you could see it just by accessing the page without opening the memo. I thought.""",0
