userid,今日の内容で、分かったこと・できたことを書いてください,今日の内容で、分からなかったこと・できなかったことを書いてください,今日の内容を自分なりの言葉で説明してみてください,今日の授業の感想や反省を書いてください,質問があれば書いてください
C-2021-1_U10,"人工知能は人間の知能の真似をする機械であり、特化型AIはその中でも特定の知能だけを人工的に実現したAIである。
身の回りにはAIを活用した様々ものがあり、最近では人間を超えるものも出てきている。
例をたくさん用意し、その通りに出力するように調整していくことを機械学習といい、予測や認識・分類、生成が可能になる。
特定の範囲でしか考えられないフレーム問題や判断根拠の不明瞭などAIにもできないことはあり、万能というわけではない。",,,,
C-2021-1_U100,人工知能は万能でなくてできることに限りがあることがわかりました。でも、特定の分野では力を発揮し、社会の色々なところで使われていることを知れました。,,AIについての基礎情報,,
C-2021-1_U101,強いAIと弱いAIの差がわかった。また、AIの性能が劇的に向上した理由についても理解することができた。,,現在使われているAIは特化型AIと呼ばれ、特定の知能だけを人工的に実現するA Iです。このため、特化型AIは弱いAIとも呼ばれる。現在実用化されていないAIは汎用AIといい、我々の知能と同じ柔軟さと多機能性を持つ強いAIのことです。現在私たちの身近にあるAIの例として、Siri、チャットボット、顔認証などがあります。AIを活用したビジネスとして、シェアリングエコノミー、リコメンド、サーベイランス、DXなどがある。機械学習によって、予測・認識・分類・生成などが可能になるが、AIは万能ではなく、AIには、フレーム問題や判断根拠が不明確などの欠点がある。,,
C-2021-1_U103,,特にありませんでした。,,,
C-2021-1_U104,,,,AIについては今までもいろんな所で情報を知る機会があったので理解しやすかった。,
C-2021-1_U105,あるものを入れたら、あるものが出力されるという関数の考え方がようくぁかった。その関数の形を調整していくのが機械学習だということも理解できた。AIは特定型AIでさえ、教えたことのみを行うので、ノイズを加えたり、教えていない事例が起こったりすると間違えたり、その範囲外の事象に対する行動が起こせない場合がある。,小テストで、推論結果が不明確というのを推論根拠のことと考えてしまった。,人工知能とは、人間の知能をまねする機械のことである。現在使われているAIは特定型AIという特定の仕事をする弱いものである。すでにAIは画像認識や推薦広告、将棋、顔認識など様々なところに使われている。AIは機械学習をすることで賢くなり、たくさんの種類の例の出力を調整することで、初めての例でも正しい出力をすることができる。深層ネットワークとは、パラメータをかけたり、足したりすることで、最終的な数が出てくるものである。,,
C-2021-1_U106,,,AIにはさまざまな種類があるが、今日まで高性能かつ万能なAIというのはまだ存在せず、未だ発展途上である。,,
C-2021-1_U107,"AIの仕組みとその作り方
人間の脳にいかに近づけられるかが重要なポイントな気がした。何を学習させるかによってAIの性質が変化する。AIどうしで学習させあうことなどもある。
問題もまだたくさんある。フレーム問題など。
実際に利用されているもの、チャットボット・sirinなどもある。高性能化したＡＩの危険性、画像生成ＡＩなど。",,AI,,
C-2021-1_U11,AIにどのような種類があるのか、またAIがどのように動いているのか新たに知識をつけることができた。,特にありません。,AIには特化型AIと汎用型AIが存在していて、身の回りで用いられているAIは特化型であり、汎用型AIは研究途上である。AIは十分なデータを取り入れる機械学習によって予測、認識・分類、生成等が可能になる。また敵対的事例、フレーム問題、判断根拠が不明確という問題も存在する。,今回の授業でAIについて学ぶことができて、特化型や汎用型などの種類があることをはじめてまなぶことができた。またどのようにAIが予測したり、生成したりしているのかということを学ぶことができたので学べたことを整理してしっかり把握できるようにしたい。,
C-2021-1_U12,パターン認識の弱いところを大量のデータで補うことで、ものの区別を明確にしてきているのだとわかった。コンピューターは認識できる対象が決められていることしかできず、人間は小さい頃でも自然とパターン分析ができて、人間の頭の構造もきになった。,,第十回：構造化データと非構造化データについての話の後、非構造化データである言語データと画像データ、音声データの処理、分析方法の説明を行なった。ベクトルは画像と言う新しい概念的なものを知った。パターン認識と現在のそれを大量のデータを使う深層ニューラルネットワークの説明。,いつもはノートにメモをしていましたが今回はパソコンのノート機能を利用をしました。あまりパソコンを見るだけでは頭に入らないのでテストがあまり良くありませんでした。,日誌を前回、回を間違えてしまったのですが2回分評価なくなりますか。
