userid,course_number,question_number,question_content,answer_content,grade
C-2022-1_U79,1,1,今日の内容を自分なりの言葉で説明してみてください,情報の伝達の方法とその発展について,F
C-2022-1_U79,1,2,今日の内容で、分かったこと・できたことを書いてください,情報は短く表現できる形に変換されてやり取りされる、ということがわかった。,F
C-2022-1_U79,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,分からないことはなかったが、データ量の単位を知らなかったので覚えておきたいと思った。,F
C-2022-1_U79,1,5,今日の授業の感想や反省を書いてください,さまざまな通信方法を知れて面白いと思った。知らないものもあったのでまた調べてみたいと思った。,F
C-2022-1_U79,2,1,今日の内容を自分なりの言葉で説明してみてください,"情報を符号にする時にどのような符号語で表すのかについて。一意復号可能な符号というのは、伝達した情報以外の内容には変換できないもの。素早く変換するための瞬時復号可能な符号というのは、前から順に読んで行った時に意味のある符号語が出たらすぐにそれを変換できるもの。これらによって、一意に、素早く情報を伝えられる。語頭符号はこれをどちらも満たす。
",F
C-2022-1_U79,2,2,今日の内容で、分かったこと・できたことを書いてください,情報を符号で送るときに一意に、素早く、短いデータで送ることが理想とされていて、語頭符号はそれを満たすことができる。最も短い一意復号可能な符号は、それと同じ長さの語頭符号を持つ、ということ。また、数式と確率を使って最適符号の範囲を調べることもできると知った。,F
C-2022-1_U79,2,3,今日の内容で、分からなかったこと・できなかったことを書いてください,計算の演習問題で式を間違えて覚えていたので、間違えてしまった。また、授業中に一度聴いた時は一意復号可能な符号や瞬時復号可能な符号と語頭符号の関係などが曖昧だったけれど、後から調べながら見ていくと整理できた。,F
C-2022-1_U79,2,5,今日の授業の感想や反省を書いてください,前回と比べて知らないことがたくさん出てきたので初めは難しく感じたが、ゆっくり見ていくと少しは理解できたと思った。語頭符号の他に一時復号可能かつ瞬時復号可能なものがあるのかが気になると思った。,F
C-2022-1_U79,3,1,今日の内容を自分なりの言葉で説明してみてください,情報を送ったり受け取ったりする際、ビットの反転などの誤りが起こる事がある。誤りが起こったときに、自動で検出または訂正できる場合があるが、それがどのような時であるかについての授業。,F
C-2022-1_U79,3,2,今日の内容で、分かったこと・できたことを書いてください,情報を送ったり、複合したりするときにビットの反転などが起きることを想定して、符号語の長さや組み合わせが工夫されているとわかった。図や、蟻地獄の例が分かりやすいと思った。ハミング距離と自動誤り検出や訂正の関係は大体理解できたと思った。,F
C-2022-1_U79,3,3,今日の内容で、分からなかったこと・できなかったことを書いてください,式を覚えただけで、ブロック誤り率のところががよく分からなかった。,F
C-2022-1_U79,3,5,今日の授業の感想や反省を書いてください,なかなか一回ではピンと来なかったが、何度かbookrollを読んで少し理解できたかな、と思う。図を使った考え方が分かりやすくて助かった。,F
C-2022-1_U79,4,1,今日の内容を自分なりの言葉で説明してみてください,通信の際に内容を第三者から守るために暗号化が行われる。シーザ暗号は内容の文字を一定の数だけずらして暗号化するもの。単一換字暗号はそれぞれの文字に対応する文字に変換して暗号化するもの。この二つは、暗号化と復号がそれぞれの逆の手順を踏むものなので受信者の鍵を送らなくてはいけない。これを解決するため、復号化と暗号化で別の鍵を使う非対称鍵暗号というものがある。RSA暗号は合同式を使って元の内容を暗号化する。,F
C-2022-1_U79,4,2,今日の内容で、分かったこと・できたことを書いてください,安全に通信するならRSA暗号などの非対称鍵暗号を使うということ。RSA暗号は合同式を使ったもので鍵となる数字の関連するキーとなる素数が存在するということ。その素数を解読することは困難であるということ。,F
